,dteday,season,year,month,holiday,weekday,weather_situation,temp,atemp,humidity,wind_speed,casual,registered,count,category_days,humidity_category
0,2011-01-01,springer,2011,january,0,saturday,cloudy,0.344167,0.363625,80.58330000000001,0.160446,331,654,985,weekend,terlalu lembab
1,2011-01-02,springer,2011,january,0,sunday,cloudy,0.363478,0.353739,69.6087,0.248539,131,670,801,weekend,terlalu lembab
2,2011-01-03,springer,2011,january,0,monday,clear,0.196364,0.189405,43.7273,0.248309,120,1229,1349,weekdays,terlalu kering
3,2011-01-04,springer,2011,january,0,tuesday,clear,0.2,0.212122,59.0435,0.160296,108,1454,1562,weekdays,ideal
4,2011-01-05,springer,2011,january,0,wednesday,clear,0.226957,0.22927,43.695699999999995,0.1869,82,1518,1600,weekdays,terlalu kering
5,2011-01-06,springer,2011,january,0,thursday,clear,0.204348,0.233209,51.8261,0.0895652,88,1518,1606,weekdays,ideal
6,2011-01-07,springer,2011,january,0,friday,cloudy,0.196522,0.208839,49.8696,0.168726,148,1362,1510,weekdays,ideal
7,2011-01-08,springer,2011,january,0,saturday,cloudy,0.165,0.162254,53.5833,0.266804,68,891,959,weekend,ideal
8,2011-01-09,springer,2011,january,0,sunday,clear,0.138333,0.116175,43.416700000000006,0.36195,54,768,822,weekend,terlalu kering
9,2011-01-10,springer,2011,january,0,monday,clear,0.150833,0.150888,48.2917,0.223267,41,1280,1321,weekdays,ideal
10,2011-01-11,springer,2011,january,0,tuesday,cloudy,0.169091,0.191464,68.6364,0.122132,43,1220,1263,weekdays,terlalu lembab
11,2011-01-12,springer,2011,january,0,wednesday,clear,0.172727,0.160473,59.954499999999996,0.304627,25,1137,1162,weekdays,ideal
12,2011-01-13,springer,2011,january,0,thursday,clear,0.165,0.150883,47.0417,0.301,38,1368,1406,weekdays,ideal
13,2011-01-14,springer,2011,january,0,friday,clear,0.16087,0.188413,53.7826,0.126548,54,1367,1421,weekdays,ideal
