,dteday,season,year,month,hours,holiday,weekday,weather_situation,temp,atemp,humidity,wind_speed,casual,registered,count,category_days,humidity_category,Frequency_Group
0,2011-01-01,springer,2011,january,0,0,saturday,clear,0.24,0.2879,81.0,0.0,3,13,16,weekend,terlalu lembab,Sedang
1,2011-01-01,springer,2011,january,1,0,saturday,clear,0.22,0.2727,80.0,0.0,8,32,40,weekend,terlalu lembab,Sedang
2,2011-01-01,springer,2011,january,2,0,saturday,clear,0.22,0.2727,80.0,0.0,5,27,32,weekend,terlalu lembab,Sedang
3,2011-01-01,springer,2011,january,3,0,saturday,clear,0.24,0.2879,75.0,0.0,3,10,13,weekend,terlalu lembab,Sedang
4,2011-01-01,springer,2011,january,4,0,saturday,clear,0.24,0.2879,75.0,0.0,0,1,1,weekend,terlalu lembab,Rendah
5,2011-01-01,springer,2011,january,5,0,saturday,cloudy,0.24,0.2576,75.0,0.0896,0,1,1,weekend,terlalu lembab,Rendah
6,2011-01-01,springer,2011,january,6,0,saturday,clear,0.22,0.2727,80.0,0.0,2,0,2,weekend,terlalu lembab,Rendah
7,2011-01-01,springer,2011,january,7,0,saturday,clear,0.2,0.2576,86.0,0.0,1,2,3,weekend,terlalu lembab,Rendah
8,2011-01-01,springer,2011,january,8,0,saturday,clear,0.24,0.2879,75.0,0.0,1,7,8,weekend,terlalu lembab,Rendah
9,2011-01-01,springer,2011,january,9,0,saturday,clear,0.32,0.3485,76.0,0.0,8,6,14,weekend,terlalu lembab,Sedang
10,2011-01-01,springer,2011,january,10,0,saturday,clear,0.38,0.3939,76.0,0.2537,12,24,36,weekend,terlalu lembab,Sedang
11,2011-01-01,springer,2011,january,11,0,saturday,clear,0.36,0.3333,81.0,0.2836,26,30,56,weekend,terlalu lembab,Tinggi
12,2011-01-01,springer,2011,january,12,0,saturday,clear,0.42,0.4242,77.0,0.2836,29,55,84,weekend,terlalu lembab,Tinggi
13,2011-01-01,springer,2011,january,13,0,saturday,cloudy,0.46,0.4545,72.0,0.2985,47,47,94,weekend,terlalu lembab,Tinggi
14,2011-01-01,springer,2011,january,14,0,saturday,cloudy,0.46,0.4545,72.0,0.2836,35,71,106,weekend,terlalu lembab,Sangat Tinggi
15,2011-01-01,springer,2011,january,15,0,saturday,cloudy,0.44,0.4394,77.0,0.2985,40,70,110,weekend,terlalu lembab,Sangat Tinggi
16,2011-01-01,springer,2011,january,16,0,saturday,cloudy,0.42,0.4242,82.0,0.2985,41,52,93,weekend,terlalu lembab,Tinggi
17,2011-01-01,springer,2011,january,17,0,saturday,cloudy,0.44,0.4394,82.0,0.2836,15,52,67,weekend,terlalu lembab,Tinggi
18,2011-01-01,springer,2011,january,18,0,saturday,light_rain,0.42,0.4242,88.0,0.2537,9,26,35,weekend,terlalu lembab,Sedang
19,2011-01-01,springer,2011,january,19,0,saturday,light_rain,0.42,0.4242,88.0,0.2537,6,31,37,weekend,terlalu lembab,Sedang
20,2011-01-01,springer,2011,january,20,0,saturday,cloudy,0.4,0.4091,87.0,0.2537,11,25,36,weekend,terlalu lembab,Sedang
21,2011-01-01,springer,2011,january,21,0,saturday,cloudy,0.4,0.4091,87.0,0.194,3,31,34,weekend,terlalu lembab,Sedang
22,2011-01-01,springer,2011,january,22,0,saturday,cloudy,0.4,0.4091,94.0,0.2239,11,17,28,weekend,terlalu lembab,Sedang
23,2011-01-01,springer,2011,january,23,0,saturday,cloudy,0.46,0.4545,88.0,0.2985,15,24,39,weekend,terlalu lembab,Sedang
24,2011-01-02,springer,2011,january,0,0,sunday,cloudy,0.46,0.4545,88.0,0.2985,4,13,17,weekend,terlalu lembab,Sedang
25,2011-01-02,springer,2011,january,1,0,sunday,cloudy,0.44,0.4394,94.0,0.2537,1,16,17,weekend,terlalu lembab,Sedang
26,2011-01-02,springer,2011,january,2,0,sunday,cloudy,0.42,0.4242,100.0,0.2836,1,8,9,weekend,terlalu lembab,Rendah
27,2011-01-02,springer,2011,january,3,0,sunday,cloudy,0.46,0.4545,94.0,0.194,2,4,6,weekend,terlalu lembab,Rendah
28,2011-01-02,springer,2011,january,4,0,sunday,cloudy,0.46,0.4545,94.0,0.194,2,1,3,weekend,terlalu lembab,Rendah
29,2011-01-02,springer,2011,january,6,0,sunday,light_rain,0.42,0.4242,77.0,0.2985,0,2,2,weekend,terlalu lembab,Rendah
30,2011-01-02,springer,2011,january,7,0,sunday,cloudy,0.4,0.4091,76.0,0.194,0,1,1,weekend,terlalu lembab,Rendah
31,2011-01-02,springer,2011,january,8,0,sunday,light_rain,0.4,0.4091,71.0,0.2239,0,8,8,weekend,terlalu lembab,Rendah
32,2011-01-02,springer,2011,january,9,0,sunday,cloudy,0.38,0.3939,76.0,0.2239,1,19,20,weekend,terlalu lembab,Sedang
